2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:49,440 - INFO - OPUSDT has been tested. win rate: 0.5384615384615384, trade count: 13
2024-09-02 11:15:49,575 - INFO - ORBSUSDT has been tested. win rate: 0.4375, trade count: 16
2024-09-02 11:15:49,708 - INFO - ORCAUSDT has been tested. win rate: 0.42857142857142855, trade count: 21
2024-09-02 11:15:49,839 - INFO - ORNUSDT has been tested. win rate: 0.46153846153846156, trade count: 13
2024-09-02 11:15:49,967 - INFO - OSMOUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:50,103 - INFO - PAXGUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:50,234 - INFO - PENDLEUSDT has been tested. win rate: 0.30952380952380953, trade count: 42
2024-09-02 11:15:50,361 - INFO - PENGUSDT has been tested. win rate: 0.6036036036036037, trade count: 111
2024-09-02 11:15:50,492 - INFO - PEOPLEUSDT has been tested. win rate: 0.45, trade count: 60
2024-09-02 11:15:50,630 - INFO - PERPUSDT has been tested. win rate: 0.4444444444444444, trade count: 9
2024-09-02 11:15:50,756 - INFO - PHAUSDT has been tested. win rate: 0.5878787878787879, trade count: 165
2024-09-02 11:15:50,884 - INFO - PHBUSDT has been tested. win rate: 0.55, trade count: 40
2024-09-02 11:15:51,017 - INFO - PIRATEUSDT has been tested. win rate: 0.5348837209302325, trade count: 43
2024-09-02 11:15:51,147 - INFO - PIXELUSDT has been tested. win rate: 0.4444444444444444, trade count: 18
2024-09-02 11:15:51,270 - INFO - PIXFIUSDT has been tested. win rate: 0.646112600536193, trade count: 373
2024-09-02 11:15:51,405 - INFO - POLYXUSDT has been tested. win rate: 0.5, trade count: 8
2024-09-02 11:15:51,538 - INFO - PONKEUSDT has been tested. win rate: 0.5714285714285714, trade count: 70
2024-09-02 11:15:51,665 - INFO - POPCATUSDT has been tested. win rate: 0.5179856115107914, trade count: 139
2024-09-02 11:15:51,797 - INFO - PORTALUSDT has been tested. win rate: 0.5, trade count: 18
2024-09-02 11:15:51,929 - INFO - POWRUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:52,059 - INFO - PRCLUSDT has been tested. win rate: 0.6428571428571429, trade count: 126
2024-09-02 11:15:52,192 - INFO - PROMUSDT has been tested. win rate: 1.0, trade count: 1
2024-09-02 11:15:52,330 - INFO - PYTHUSDT has been tested. win rate: 0.5714285714285714, trade count: 7
2024-09-02 11:15:52,459 - INFO - QIUSDT has been tested. win rate: 0.7142857142857143, trade count: 14
2024-09-02 11:15:52,595 - INFO - QTUMUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:52,730 - INFO - RADUSDT has been tested. win rate: 0.6601941747572816, trade count: 103
2024-09-02 11:15:52,858 - INFO - RAREUSDT has been tested. win rate: 0.5704225352112676, trade count: 142
2024-09-02 11:15:52,990 - INFO - RAYDIUMUSDT has been tested. win rate: 0.5, trade count: 18
2024-09-02 11:15:53,128 - INFO - RAYUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:53,260 - INFO - RDNTUSDT has been tested. win rate: 0.5555555555555556, trade count: 45
2024-09-02 11:15:53,390 - INFO - RENDERUSDT has been tested. win rate: 0.48484848484848486, trade count: 33
2024-09-02 11:15:53,520 - INFO - RENUSDT has been tested. win rate: 0.6176470588235294, trade count: 68
2024-09-02 11:15:53,651 - INFO - REZUSDT has been tested. win rate: 0.4666666666666667, trade count: 15
2024-09-02 11:15:53,783 - INFO - RIFUSDT has been tested. win rate: 0.6, trade count: 10
2024-09-02 11:15:53,916 - INFO - RLCUSDT has been tested. win rate: 0.5714285714285714, trade count: 14
2024-09-02 11:15:54,048 - INFO - RONUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:54,181 - INFO - ROSEUSDT has been tested. win rate: 0.7, trade count: 10
2024-09-02 11:15:54,314 - INFO - RUNEUSDT has been tested. win rate: 0.35714285714285715, trade count: 14
2024-09-02 11:15:54,447 - INFO - SAGAUSDT has been tested. win rate: 0.5111111111111111, trade count: 45
2024-09-02 11:15:54,580 - INFO - SANDUSDT has been tested. win rate: 0.4, trade count: 5
2024-09-02 11:15:54,717 - INFO - SCAUSDT has been tested. win rate: 0.5636363636363636, trade count: 55
2024-09-02 11:15:54,848 - INFO - SFPUSDT has been tested. win rate: 0.0, trade count: 1
2024-09-02 11:15:54,978 - INFO - SHIB1000USDT has been tested. win rate: 0.42857142857142855, trade count: 7
2024-09-02 11:15:55,112 - INFO - SKLUSDT has been tested. win rate: 0.5882352941176471, trade count: 17
2024-09-02 11:15:55,244 - INFO - SLERFUSDT has been tested. win rate: 0.6428571428571429, trade count: 14
2024-09-02 11:15:55,380 - INFO - SNTUSDT has been tested. win rate: 0.85, trade count: 20
2024-09-02 11:15:55,515 - INFO - SNXUSDT has been tested. win rate: 0.5, trade count: 8
2024-09-02 11:15:55,649 - INFO - SPECUSDT has been tested. win rate: 0.5961538461538461, trade count: 52
2024-09-02 11:15:55,785 - INFO - STEEMUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:55,924 - INFO - STGUSDT has been tested. win rate: 0.25, trade count: 4
2024-09-02 11:15:56,057 - INFO - STORJUSDT has been tested. win rate: 0.375, trade count: 8
2024-09-02 11:15:56,195 - INFO - STPTUSDT has been tested. win rate: 0.6875, trade count: 16
2024-09-02 11:15:56,333 - INFO - STRKUSDT has been tested. win rate: 0.6060606060606061, trade count: 33
2024-09-02 11:15:56,467 - INFO - SUIUSDT has been tested. win rate: 0.5384615384615384, trade count: 26
2024-09-02 11:15:56,605 - INFO - SUPERUSDT has been tested. win rate: 0.4666666666666667, trade count: 45
2024-09-02 11:15:56,738 - INFO - SUSHIUSDT has been tested. win rate: 0.5, trade count: 8
2024-09-02 11:15:56,876 - INFO - SXPUSDT has been tested. win rate: 0.5, trade count: 6
2024-09-02 11:15:57,013 - INFO - TAIKOUSDT has been tested. win rate: 0.5, trade count: 6
2024-09-02 11:15:57,148 - INFO - THETAUSDT has been tested. win rate: 0.6363636363636364, trade count: 11
2024-09-02 11:15:57,285 - INFO - TIAUSDT has been tested. win rate: 0.55, trade count: 20
2024-09-02 11:15:57,421 - INFO - TOKENUSDT has been tested. win rate: 0.5555555555555556, trade count: 27
2024-09-02 11:15:57,544 - INFO - TOMIUSDT has been tested. win rate: 0.6729559748427673, trade count: 636
2024-09-02 11:15:57,682 - INFO - TRUUSDT has been tested. win rate: 0.4, trade count: 10
2024-09-02 11:15:57,818 - INFO - TRXUSDT has been tested. win rate: 0.5, trade count: 2
2024-09-02 11:15:57,952 - INFO - TUSDT has been tested. win rate: 0.5555555555555556, trade count: 9
2024-09-02 11:15:58,089 - INFO - TWTUSDT has been tested. win rate: 0.5, trade count: 6
